analysis_date,engagement_velocity,misinformation_probability,credibility_score,post_volume
2025-06-01,7.808,0.308,0.712,1
2025-06-02,8.136,0.213,0.553,1
2025-06-03,56.563,0.096,0.961,1
2025-06-04,26.415,0.182,0.947,1
2025-06-05,11.851,0.001,0.676,1
2025-06-06,128.287,0.267,0.967,1
2025-06-07,17.036,0.206,0.697,1
2025-06-08,173.71,0.178,0.712,1
2025-06-09,54.515,0.073,0.654,1
2025-06-10,424.901,0.152,0.591,1
2025-06-11,73.406,0.105,0.839,1
2025-06-12,42.175,0.277,0.658,1
2025-06-13,62.437,0.258,0.734,1
2025-06-14,5.861,0.318,0.622,1
2025-06-15,269.108,0.179,0.767,1
2025-06-16,42.011,0.115,0.704,1
2025-06-17,92.084,0.913,0.446,1
2025-06-18,131.399,0.31,0.61,1
2025-06-19,409.763,0.302,0.646,1
2025-06-20,12.101,0.563,0.679,1
2025-06-21,201.196,0.237,0.801,1
2025-06-22,212.277,0.182,0.564,1
2025-06-23,750.954,0.333,0.975,1
2025-06-24,75.985,0.729,0.27,1
2025-06-25,23.446,0.213,0.834,1
2025-06-26,16.041,0.102,0.723,1
2025-06-27,7.542,0.324,0.74,1
2025-06-28,89.65976,0.23586945,0.7279996,16484
2025-07-01,143.045,0.746,0.105,1
2025-07-02,21.411,0.147,0.859,1
2025-07-03,99.894,0.122,0.925,1
2025-07-04,14.194,0.508,0.636,1
2025-07-05,13.722,0.132,0.58,1
2025-07-06,195.221,0.089,0.622,1
2025-07-07,49.017,0.875,0.165,1
2025-07-08,469.678,0.58,0.722,1
2025-07-09,18.242,0.235,0.885,1
2025-07-10,13.132,0.28,0.616,1
2025-07-11,34.201,0.012,0.918,1
2025-07-12,27.627,0.064,0.778,1
2025-07-13,77.727,0.014,0.573,1
2025-07-14,26.374,0.097,0.974,1
2025-07-15,17.4,0.18,0.722,1
2025-07-16,57.051,0.02,0.849,1
2025-07-17,26.877,0.298,0.6,1
2025-07-18,30.528,0.081,0.707,1
2025-07-19,131.03,0.475,0.8,1
2025-07-20,122.528,0.305,0.664,1
2025-07-21,65.916,0.069,0.646,1
2025-07-22,12.978,0.187,0.773,1
2025-07-23,129.116,0.298,0.552,1
2025-07-24,32.485,0.03,0.662,1
2025-07-25,19.211,0.154,0.775,1
2025-07-26,23.153,0.119,0.818,1
2025-07-27,17.597,0.252,0.654,1
2025-07-28,91.86772,0.23822495,0.72776276,16835
2025-08-01,20.347,0.11,0.721,1
2025-08-02,31.07,0.095,0.737,1
2025-08-03,135.694,0.33,0.864,1
2025-08-04,14.732,0.304,0.673,1
2025-08-05,34.254,0.267,0.833,1
2025-08-06,15.559,0.547,0.622,1
2025-08-07,50.258,0.931,0.419,1
2025-08-08,334.766,0.008,0.607,1
2025-08-09,38.805,0.323,0.801,1
2025-08-10,18.914,0.167,0.788,1
2025-08-11,26.649,0.073,0.738,1
2025-08-12,256.261,0.275,0.765,1
2025-08-13,5.903,0.264,0.903,1
2025-08-14,34.347,0.248,0.873,1
2025-08-15,37.58,0.336,0.82,1
2025-08-16,25.391,0.178,0.933,1
2025-08-17,2314.999,0.016,0.59,1
2025-08-18,107.591,0.349,0.571,1
2025-08-19,169.081,0.04,0.652,1
2025-08-20,27.628,0.13,0.927,1
2025-08-21,61.788,0.042,0.797,1
2025-08-22,52.67,0.113,0.55,1
2025-08-23,4.947,0.213,0.865,1
2025-08-24,132.048,0.098,0.902,1
2025-08-25,8.761,0.207,0.677,1
2025-08-26,118.535,0.067,0.789,1
2025-08-27,26.234,0.076,0.94,1
2025-08-28,89.083206,0.2385879,0.72569287,16600
